Standardized_names,naturalized_status,min_record_year_cvh,residence_time_to_2020,prop_type,prop_data_source,chklst_prov_num,bg_num,Height_max_max,Height_max_data_source_tog,Life_form_new,LF_data_source,tip.label,tip.order,match.type,TPL_Family,TPL_New.Genus,TPL_New.Hybrid.marker,TPL_New.Species,TPL_New.Infraspecific.rank,TPL_New.Infraspecific,TPL_New.Authority,TPL_New.ID,TPL_New.Taxonomic.status,TPL_Date,wcup_eco_use_AF,wcup_eco_use_EU,wcup_eco_use_FU,wcup_eco_use_GS,wcup_eco_use_HF,wcup_eco_use_IF,wcup_eco_use_MA,wcup_eco_use_ME,wcup_eco_use_PO,wcup_eco_use_SU,wcup_eco_use_num,biomod2_used_names,hab_suit_prop_min,hab_suit_prop_max,ali_new_status,X1,X2,X3,X4,X5,X6,X7,X8,X9,new_sum.L3.code,new_sum.L2.code,new_sum.L1.code
Alchemilla amardica,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Alchemilla_amardica,1087,species added to genus root,Rosaceae,Alchemilla,NA,amardica,NA,NA,Rothm.,rjp-1371,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,1,1
Aloe aspera,0,NA,NA,3,DavesGarden/ EGF2,0,0,0.2,EGF2,NA,TPL_Tiplabels_LF_fine,Aloe_aspera,8822,species added to genus root,Xanthorrhoeaceae,Aloe,NA,aspera,NA,NA,Haw.,kew-297087,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1
Aloe tenuifolia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Aloe_tenuifolia,8823,species added to genus root,Xanthorrhoeaceae,Aloe,NA,tenuifolia,NA,NA,Lam.,kew-298049,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpinia luteocarpa,0,NA,NA,2,DavesGarden,1,1,2.4,DavesGarden,NA,TPL_Tiplabels_LF_fine,Alpinia_luteocarpa,9132,species added to genus root,Zingiberaceae,Alpinia,NA,luteocarpa,NA,NA,Elmer,kew-340524,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,1,1
Amomum longipes,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Amomum_longipes,9136,species added to genus root,Zingiberaceae,Amomum,NA,longipes,NA,NA,Valeton,kew-219354,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,1,1
Amorpha elatior,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Amorpha_elatior,1670,species added to genus root,Leguminosae,Amorpha,NA,elatior,NA,NA,hort. ex Lavall¨¦e,tro-13056921,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthurium philodendroides,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Anthurium_philodendroides,13014,species added to genus root,Araceae,Anthurium,NA,philodendroides,NA,NA,Sodiro,kew-11512,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1,1
Anthurium warscewiczii,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Anthurium_warscewiczii,13015,species added to genus root,Araceae,Anthurium,NA,warscewiczii,NA,NA,K. Koch,tro-2100807,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apium graveolens var. rapaceum,0,NA,NA,1,DavesGarden,3,1,0.45,DavesGarden,NA,TPL_Tiplabels_LF_fine,Apium_graveolens_var._rapaceum,6060,species added to genus root,Apiaceae,Apium,NA,graveolens,var.,rapaceum,(Mill.) Poir.,kew-2906245,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquilaria agallocha,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Aquilaria_agallocha,2200,species added to genus root,Thymelaeaceae,Aquilaria,NA,agallocha,NA,NA,Roxb.,kew-2644531,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquilegia baikalensis,0,NA,NA,NA,EGF2,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Aquilegia_baikalensis,8770,species added to genus root,Ranunculaceae,Aquilegia,NA,baikalensis,NA,NA,K.C.Davis,kew-2644620,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,1,1
Armeria pseudarmeria,0,NA,NA,3,DavesGarden,2,1,0.6,DavesGarden,NA,TPL_Tiplabels_LF_fine,Armeria_pseudarmeria,8395,species added to genus root,Plumbaginaceae,Armeria,NA,pseudarmeria,NA,NA,Brot.,tro-100292821,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,1,1
Begonia crenatifolia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Begonia_crenatifolia,846,species added to genus root,Begoniaceae,Begonia,NA,crenatifolia,NA,NA,A. DC.,tro-50203673,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia cucullata var. arenosicola,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Begonia_cucullata_var._arenosicola,847,species added to genus root,Begoniaceae,Begonia,NA,cucullata,var.,arenosicola,(C.DC.) L.B.Sm. & B.G.Schub.,kew-361364,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,3,1,1
Begonia deliciosa,0,NA,NA,NA,NA,4,3,NA,NA,NA,TPL_Tiplabels_LF_fine,Begonia_deliciosa,848,species added to genus root,Begoniaceae,Begonia,NA,deliciosa,NA,NA,Linden ex Fotsch,kew-361408,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Begonia diadema,0,NA,NA,NA,NA,1,1,0.3,EGF2,NA,TPL_Tiplabels_LF_fine,Begonia_diadema,849,species added to genus root,Begoniaceae,Begonia,NA,diadema,NA,NA,Linden ex Rodigas,kew-361420,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benincasa fistulosa,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Benincasa_fistulosa,802,species added to genus root,Cucurbitaceae,Benincasa,NA,fistulosa,NA,NA,(Stocks) H.Schaef. & S.S.Renner,kew-2903249,Unresolved,2019/3/24 0:00,1,0,0,1,1,0,1,1,0,0,5,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,2,1,1
Berberis amplectens,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Berberis_amplectens,15,species added to genus root,Berberidaceae,Berberis,NA,amplectens,NA,NA,(Eastw.) Wheeler,kew-2673403,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1,1
Berberis bidentata,0,NA,NA,3,DavesGarden,3,2,NA,NA,NA,TPL_Tiplabels_LF_fine,Berberis_bidentata,16,species added to genus root,Berberidaceae,Berberis,NA,bidentata,NA,NA,Lechler,tro-3500207,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berberis nervosa,0,NA,NA,3,DavesGarden/ EGF2,1,1,1.2,EGF2; enzyklopaedie; DavesGarden,NA,TPL_Tiplabels_LF_fine,Berberis_nervosa,17,species added to genus root,Berberidaceae,Berberis,NA,nervosa,NA,NA,Pursh,kew-2674193,Unresolved,2019/3/24 0:00,0,0,0,0,0,0,0,1,0,0,1,Berberis nervosa,0.202807707,0.258701869,0,0,0,0,0,0,0,1,0,0,5,3,1
Berberis repens,0,NA,NA,3,DavesGarden/ EGF2,2,1,0.5,EGF2; enzyklopaedie; DavesGarden,NA,TPL_Tiplabels_LF_fine,Berberis_repens,18,species added to genus root,Berberidaceae,Berberis,NA,repens,NA,NA,Lindl.,kew-2674362,Unresolved,2019/3/24 0:00,0,0,0,0,0,0,0,1,0,0,1,Berberis repens,0.102891476,0.256795401,0,0,0,0,0,0,0,1,0,0,18,5,1
Billbergia distachia var. distachia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Billbergia_distachia_var._distachia,10210,species added to genus root,Bromeliaceae,Billbergia,NA,distachia,var.,distachia,NA,tro-50099803,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,2,1,1
Braunsia maximiliani,0,NA,NA,3,DavesGarden,2,1,0.15,DavesGarden,NA,TPL_Tiplabels_LF_fine,Braunsia_maximiliani,6815,species added to genus root,Aizoaceae,Braunsia,NA,maximiliani,NA,NA,(Schltr. & Berger) Schwantes,kew-2682972,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1
Browningia riosaniensis,0,NA,NA,3,DavesGarden,0,0,4.7,DavesGarden,NA,TPL_Tiplabels_LF_fine,Browningia_riosaniensis,7226,species added to genus root,Cactaceae,Browningia,NA,riosaniensis,NA,NA,(Backeb.) G.D.Rowley,kew-2683912,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1,1
Bupleurum fruticosum,0,1980,40,1,DavesGarden/ EGF2,2,1,2.5,EGF2; enzyklopaedie; DavesGarden,NA,TPL_Tiplabels_LF_fine,Bupleurum_fruticosum,6101,species added to genus root,Apiaceae,Bupleurum,NA,fruticosum,NA,NA,L.,tro-1700032,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bupleurum fruticosum,0.001213207,0.006903723,0,1,1,1,0,0,0,0,0,0,12,4,3
Cactus muehlenpfordtii,0,NA,NA,3,DavesGarden/ EGF2,6,4,0.3,DavesGarden,NA,TPL_Tiplabels_LF_fine,Cactus_muehlenpfordtii,6969,species added to genus root,Cactaceae,Cactus,NA,muehlenpfordtii,NA,NA,Kuntze,kew-2689331,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,2,1,1
Callistemon hortensis,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Callistemon_hortensis,2707,species added to genus root,Myrtaceae,Callistemon,NA,hortensis,NA,NA,Cheel,kew-31435,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callistemon hybridus,0,NA,NA,NA,NA,2,2,NA,NA,NA,TPL_Tiplabels_LF_fine,Callistemon_hybridus,2708,species added to genus root,Myrtaceae,Callistemon,NA,hybridus,NA,NA,DC.,kew-31436,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canna orchioides,0,1928,92,NA,DavesGarden/ EGF2,7,6,NA,NA,NA,TPL_Tiplabels_LF_fine,Canna_orchioides,9126,species added to genus root,Cannaceae,Canna,NA,orchioides,NA,NA,Bailey,tro-5800078,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caralluma melanantha,0,NA,NA,NA,NA,1,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Caralluma_melanantha,4910,species added to genus root,Apocynaceae,Caralluma,NA,melanantha,NA,NA,(Schltdl.) N.E.Br.,kew-2699213,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caralluma nebrownii,0,NA,NA,NA,NA,4,4,NA,NA,NA,TPL_Tiplabels_LF_fine,Caralluma_nebrownii,4911,species added to genus root,Apocynaceae,Caralluma,NA,nebrownii,NA,NA,A.Berger,kew-2699222,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catalpa hybrida,0,NA,NA,NA,NA,3,3,NA,NA,NA,TPL_Tiplabels_LF_fine,Catalpa_hybrida,4334,species added to genus root,Bignoniaceae,Catalpa,NA,hybrida,NA,NA,L. Sp<U+00E4>th,tro-50004110,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayaponia macrantha,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Cayaponia_macrantha,785,species added to genus root,Cucurbitaceae,Cayaponia,NA,macrantha,NA,NA,Pittier,kew-2706432,Unresolved,2019/4/8 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalotaxus harringtonia var. koraiana,0,NA,NA,2,DavesGarden,1,1,9,DavesGarden,NA,TPL_Tiplabels_LF_fine,Cephalotaxus_harringtonia_var._koraiana,13390,species added to genus root,Taxaceae,Cephalotaxus,NA,harringtonia,var.,koraiana,(Siebold) Koidz.,tro-6900016,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,1,1,1
Cerasus kanzakura,0,NA,NA,NA,NA,3,2,NA,NA,NA,TPL_Tiplabels_LF_fine,Cerasus_kanzakura,1268,species added to genus root,Rosaceae,Cerasus,NA,kanzakura,NA,NA,(Makino) H.Ohba,rjp-36971,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerasus nipponica,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Cerasus_nipponica,1269,species added to genus root,Rosaceae,Cerasus,NA,nipponica,NA,NA,(Matsum.) Nedol.,rjp-15917,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Cerasus nipponica,0.000751033,0.025592883,0,0,0,1,0,0,0,0,0,0,3,2,1
Cerasus parvifolia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Cerasus_parvifolia,1270,species added to genus root,Rosaceae,Cerasus,NA,parvifolia,NA,NA,Greene,rjp-14233,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerasus sieboldii,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Cerasus_sieboldii,1271,species added to genus root,Rosaceae,Cerasus,NA,sieboldii,NA,NA,Carri<U+0160>re,rjp-8532,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerasus yedoensis,0,1930,90,3,EGF2,18,15,15,EGF2; enzyklopaedie,NA,TPL_Tiplabels_LF_fine,Cerasus_yedoensis,1272,species added to genus root,Rosaceae,Cerasus,NA,yedoensis,NA,NA,(Matsum.) T.T.Yu & C.L.Li,rjp-13980,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cereus brookii,0,NA,NA,3,DavesGarden,1,0,6,DavesGarden,NA,TPL_Tiplabels_LF_fine,Cereus_brookii,7179,species added to genus root,Cactaceae,Cereus,NA,brookii,NA,NA,(Britton) Vaupel,kew-2711634,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1,1
Cheiridopsis dilatata,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Cheiridopsis_dilatata,6688,species added to genus root,Aizoaceae,Cheiridopsis,NA,dilatata,NA,NA,L.Bolus,kew-2716504,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cissus dubia,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Cissus_dubia,23,species added to genus root,Vitaceae,Cissus,NA,dubia,NA,NA,Steud.,kew-2722375,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conophytum cubicum,0,NA,NA,3,DavesGarden,1,1,0.15,DavesGarden,NA,TPL_Tiplabels_LF_fine,Conophytum_cubicum,6704,species added to genus root,Aizoaceae,Conophytum,NA,cubicum,NA,NA,Pavelka,kew-2734850,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1
Conophytum densipunctum,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Conophytum_densipunctum,6705,species added to genus root,Aizoaceae,Conophytum,NA,densipunctum,NA,NA,L.Bolus,kew-2734861,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conophytum ellipticum,0,NA,NA,NA,NA,0,0,NA,NA,NA,TPL_Tiplabels_LF_fine,Conophytum_ellipticum,6706,species added to genus root,Aizoaceae,Conophytum,NA,ellipticum,NA,NA,Tischer,kew-2734893,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conophytum fibuliforme,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Conophytum_fibuliforme,6707,species added to genus root,Aizoaceae,Conophytum,NA,fibuliforme,NA,NA,(Haw.) N.E.Br.,kew-2734904,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conophytum hanae,0,NA,NA,NA,NA,1,1,NA,NA,NA,TPL_Tiplabels_LF_fine,Conophytum_hanae,6708,species added to genus root,Aizoaceae,Conophytum,NA,hanae,NA,NA,Pavelka,kew-2734941,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1
Conophytum lithopsoides subsp. koubergense,0,NA,NA,3,DavesGarden,1,1,0.15,DavesGarden,NA,TPL_Tiplabels_LF_fine,Conophytum_lithopsoides_subsp._koubergense,6709,species added to genus root,Aizoaceae,Conophytum,NA,lithopsoides,subsp.,koubergense,(L.Bolus) S.A.Hammer,kew-2735008,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1
Conophytum marnierianum,0,NA,NA,NA,NA,3,3,NA,NA,NA,TPL_Tiplabels_LF_fine,Conophytum_marnierianum,6710,species added to genus root,Aizoaceae,Conophytum,NA,marnierianum,NA,NA,Tischer & Jacobsen,tro-701084,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus cneorum,0,NA,NA,2,DavesGarden,2,1,0.5,EGF2; DavesGarden,NA,TPL_Tiplabels_LF_fine,Convolvulus_cneorum,5316,species added to genus root,Convolvulaceae,Convolvulus,NA,cneorum,NA,NA,L.,tro-8500023,Unresolved,2019/3/24 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,5,2,2
